,Country,Cases
0,Azerbaijan,17524
1,Albania,2535
2,Armenia,25542
3,Bosnia and Herzegovina,4453
4,Bulgaria,4831
5,Cyprus,998
6,Denmark,12968
7,Ireland,25473
8,Estonia,1989
9,Austria,17766
10,Czechia,11895
11,Finland,7214
12,France,202063
13,Georgia,928
14,Germany,195418
15,Greece,3409
16,Croatia,2777
17,Hungary,4155
18,Iceland,1842
19,Israel,25244
20,Italy,240578
21,Latvia,1118
22,Belarus,62118
23,Lithuania,1817
24,Slovakia,1667
25,Liechtenstein,82
26,North Macedonia,6334
27,Malta,670
28,Belgium,61427
29,Andorra,855
30,Luxembourg,4299
31,Monaco,103
32,Montenegro,548
33,Netherlands,50483
34,Norway,8879
35,Poland,34393
36,Portugal,42141
37,Romania,26970
38,Moldova,16613
39,Slovenia,1600
40,Spain,249271
41,Sweden,68451
42,Switzerland,31714
43,Turkey,199906
44,United Kingdom,314159
45,Ukraine,45254
46,San Marino,698
47,Serbia,14564
48,Russia,646929
